[key]; [value]
Version; 0x03050000
Name; Application.mesure_all
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MAST
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 101
Flags; 16
0.Variable; actualVelocity_1
0.Address.AddrFlags; 0x00000000
0.Class; 8
0.Size; 4
0.GraphColor; 4293821166
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 4; 1
; 24; -3
; 44; -4
; 64; 0
; 84; -1
; 104; -4
; 124; -6
; 144; 3
; 164; 1
; 184; -1
; 204; -7
; 224; 3
; 244; -2
; 264; 1
; 284; 2
; 304; 5
; 324; -2
; 344; 1
; 364; -5
; 384; -3
; 404; 1
; 424; -2
; 444; -6
; 464; 2
; 484; -2
; 504; 0
; 524; -2
; 544; -5
; 564; -2
; 584; -1
; 604; 6
; 624; -1
; 644; 0
; 664; 3
; 684; 2
; 704; 1
; 724; 4
; 744; 0
; 764; 0
; 784; 2
; 804; -4
; 824; 2
; 844; -3
; 864; -2
; 884; 4
; 904; -1
; 924; 4
; 944; 6
; 964; 0
; 984; -9
; 1004; 1
; 1024; -3
; 1044; 6
; 1064; -1
; 1084; -3
; 1104; 0
; 1124; -5
; 1144; 5
; 1164; 5
; 1184; -4
; 1204; -1
; 1224; -8
; 1244; 2
; 1264; -1
; 1284; -3
; 1304; 3
; 1324; 4
; 1344; 2
; 1364; -4
; 1384; 3
; 1404; -5
; 1424; 4
; 1444; -1
; 1464; -4
; 1484; 5
; 1504; 0
; 1524; 1
; 1544; 4
; 1564; 1
; 1584; 2
; 1604; 1
; 1624; 1
; 1644; 3
; 1664; -2
; 1684; 2
; 1704; -2
; 1724; 4
; 1744; 2
; 1764; -4
; 1784; -2
; 1804; -7
; 1824; -3
; 1844; 10
; 1864; 2
; 1884; -4
; 1904; 2
; 1924; -1
; 1944; 0
; 1964; 0
; 1984; -4
; 2004; 2
; 2024; 2
; 2044; -2
; 2064; 3
; 2084; -1
; 2104; 4
; 2124; 2
; 2144; -3
; 2164; 2
; 2184; 1
; 2204; 0
; 2224; 0
; 2244; -6
; 2264; -2
; 2284; -1
; 2304; -7
; 2324; -3
; 2344; 0
; 2364; 6
; 2384; -7
; 2404; 1
; 2424; 5
; 2444; -1
; 2464; -2
; 2484; 4
; 2504; -3
; 2524; 0
; 2544; -3
; 2564; -2
; 2584; 3
; 2604; 0
; 2624; 1
; 2644; 1
; 2664; 0
; 2684; -7
; 2704; -4
; 2724; 2
; 2744; 1
; 2764; 3
; 2784; 2
; 2804; -2
; 2824; 1
; 2844; -2
; 2864; -3
; 2884; -2
; 2904; 4
; 2924; 3
; 2944; 1
; 2964; 1
; 2984; -2
; 3004; 2
; 3024; 2
; 3044; -2
; 3064; -5
; 3084; 2
; 3104; 2
; 3124; 4
; 3144; -4
; 3164; -5
; 3184; 0
; 3204; -3
; 3224; 3
; 3244; 4
; 3264; -5
; 3284; 4
; 3304; 3
; 3324; 1
; 3344; 1
; 3364; 1
; 3384; -7
; 3404; 0
; 3424; -6
; 3444; -3
; 3464; 0
; 3484; 1
; 3504; -5
; 3524; -4
; 3544; 2
; 3564; 5
; 3584; 10
; 3604; 5
; 3624; -2
; 3644; -2
; 3664; 4
; 3684; 4
; 3704; 1
; 3724; 3
; 3744; 0
; 3764; 2
; 3784; 0
; 3804; 4
; 3824; 4
; 3844; 1
; 3864; -6
; 3884; 1
; 3904; 0
; 3924; 2
; 3944; 2
; 3964; -4
; 3984; 6
; 4004; -7
; 4024; 1
; 4044; -1
; 4064; -8
; 4084; 3
; 4104; -8
; 4124; 1
; 4144; 0
; 4164; 0
; 4184; 2
; 4204; 0
; 4224; -1
; 4244; -1
; 4264; 6
; 4284; -2
; 4304; 0
; 4324; 0
; 4344; -2
; 4364; 4
; 4384; -2
; 4404; 1
; 4424; -2
; 4444; 9
; 4464; 1
; 4484; -3
; 4504; -4
; 4524; -3
; 4544; -1
; 4564; -4
; 4584; 0
; 4604; 1
; 4624; -7
; 4644; 0
; 4664; 3
; 4684; -2
; 4704; 3
; 4724; 1
; 4744; -1
; 4764; 1
; 4784; 1
; 4804; -1
; 4824; 2
; 4844; 0
; 4864; 0
; 4884; 5
; 4904; -2
; 4924; 4
; 4944; -4
; 4964; 4
; 4984; -4
; 5004; 2
; 5024; -1
; 5044; 0
; 5064; -1
; 5084; -6
; 5104; 3
; 5124; 3
; 5144; 0
; 5164; 4
; 5184; -3
; 5204; 0
; 5224; -2
; 5244; 3
; 5264; 5
; 5284; -1
; 5304; 3
; 5324; 4
; 5344; -3
; 5364; 4
; 5384; -7
; 5404; -4
; 5424; 3
; 5444; -1
; 5464; 0
; 5484; 4
; 5504; 3
; 5524; 3
; 5544; 3
; 5564; 3
; 5584; 6
; 5604; 1
; 5624; 1
; 5644; 7
; 5664; -6
; 5684; -1
; 5704; -4
; 5724; -4
; 5744; -2
; 5764; -7
; 5784; 4
; 5804; 1
; 5824; 3
; 5844; 1
; 5864; -2
; 5884; 0
; 5904; 2
; 5924; -6
; 5944; -1
; 5964; -7
; 5984; -2
; 6004; -2
; 6024; 1
; 6044; -3
; 6064; -1
; 6084; 4
; 6104; 6
; 6124; -8
; 6144; -5
; 6164; -2
; 6184; -2
; 6204; 3
; 6224; -3
; 6244; 1
; 6264; 0
; 6284; 5
; 6304; 5
; 6324; -5
; 6344; 3
; 6364; 0
; 6384; 4
; 6404; -4
; 6424; -2
; 6444; -3
; 6464; 3
; 6484; 1
; 6504; 6
; 6524; 3
; 6544; 5
; 6564; -1
; 6584; 6
; 6604; 4
; 6624; 0
; 6644; 2
; 6664; 4
; 6684; -1
; 6704; 3
; 6724; -8
; 6744; 4
; 6764; 14
; 6784; 29
; 6804; 154
; 6824; 80
; 6844; 29
; 6864; 112
; 6884; 121
; 6904; 69
; 6924; 101
; 6944; 36
; 6964; 201
; 6984; 113
; 7004; 74
; 7024; 89
; 7044; 39
; 7064; 213
; 7084; 115
; 7104; 93
; 7124; 97
; 7144; 33
; 7164; 210
; 7184; 120
; 7204; 89
; 7224; 90
; 7244; 43
; 7264; 185
; 7284; 111
; 7304; 84
; 7324; 87
; 7344; 40
; 7364; 216
; 7384; 122
; 7404; 94
; 7424; 94
; 7444; 36
; 7464; 205
; 7484; 117
; 7504; 82
; 7524; 86
; 7544; 38
; 7564; 195
; 7584; 111
; 7604; 80
; 7624; 93
; 7644; 37
; 7664; 212
; 7684; 99
; 7704; 109
; 7724; 103
; 7744; 40
; 7764; 212
; 7784; 108
; 7804; 123
; 7824; 108
; 7844; 53
; 7864; 131
; 7884; 79
; 7904; 115
; 7924; 103
; 7944; 50
; 7964; 165
; 7984; 70
; 8004; 151
; 8024; 110
; 8044; 49
; 8064; 178
; 8084; 72
; 8104; 163
; 8124; 118
; 8144; 62
; 8164; 84
; 8184; 51
; 8204; 170
; 8224; 119
; 8244; 60
; 8264; 106
; 8284; 45
; 8304; 201
; 8324; 90
; 8344; 57
; 8364; 108
; 8384; 40
; 8404; 194
; 8424; 92
; 8444; 93
; 8464; 81
; 8484; 44
; 8504; 183
; 8524; 73
; 8544; 98
; 8564; 97
; 8584; 56
; 8604; 128
; 8624; 45
; 8644; 108
; 8664; 113
; 8684; 60
; 8704; 112
; 8724; 38
; 8744; 192
; 8764; 123
; 8784; 63
; 8804; 105
; 8824; 35
; 8844; 199
; 8864; 118
; 8884; 85
; 8904; 93
; 8924; 39
; 8944; 215
; 8964; 113
; 8984; 104
; 9004; 97
; 9024; 51
; 9044; 143
; 9064; 73
; 9084; 131
; 9104; 109
; 9124; 62
; 9144; 122
; 9164; 50
; 9184; 196
; 9204; 95
; 9224; 64
; 9244; 104
; 9264; 42
; 9284; 191
; 9304; 86
; 9324; 104
; 9344; 94
; 9364; 44
; 9384; 173
; 9404; 59
; 9424; 126
; 9444; 118
; 9464; 62
; 9484; 105
; 9504; 30
; 9524; 160
; 9544; 126
; 9564; 82
; 9584; 95
; 9604; 46
; 9624; 181
; 9644; 106
; 9664; 99
; 9684; 105
; 9704; 50
; 9724; 170
; 9744; 71
; 9764; 164
; 9784; 107
; 9804; 54
; 9824; 146
; 9844; 47
; 9864; 202
; 9884; 108
; 9904; 87
; 9924; 84
; 9944; 41
; 9964; 196
; 9984; 72
; 10004; 102
; 10024; 117
; 10044; 64
; 10064; 107
; 10084; 32
; 10104; 168
; 10124; 128
; 10144; 85
; 10164; 103
; 10184; 44
; 10204; 166
; 10224; 89
; 10244; 118
; 10264; 110
; 10284; 54
; 10304; 135
; 10324; 52
; 10344; 199
; 10364; 95
; 10384; 61
; 10404; 104
; 10424; 44
; 10444; 191
; 10464; 74
; 10484; 126
; 10504; 107
; 10524; 52
; 10544; 142
; 10564; 46
; 10584; 173
; 10604; 125
; 10624; 89
; 10644; 99
; 10664; 40
; 10684; 219
; 10704; 98
; 10724; 161
; 10744; 121
; 10764; 66
; 10784; 83
; 10804; 41
; 10824; 201
; 10844; 93
; 10864; 82
; 10884; 100
; 10904; 56
; 10924; 126
; 10944; 38
; 10964; 144
; 10984; 126
; 11004; 77
; 11024; 98
; 11044; 44
; 11064; 188
; 11084; 94
; 11104; 111
; 11124; 111
; 11144; 55
; 11164; 129
; 11184; 49
; 11204; 197
; 11224; 84
; 11244; 73
; 11264; 98
; 11284; 51
; 11304; 160
; 11324; 52
; 11344; 171
; 11364; 125
; 11384; 70
; 11404; 100
; 11424; 38
; 11444; 220
; 11464; 101
; 11484; 146
; 11504; 112
; 11524; 53
; 11544; 152
; 11564; 53
; 11584; 207
; 11604; 98
; 11624; 113
; 11644; 100
; 11664; 52
; 11684; 147
; 11704; 43
; 11724; 175
; 11744; 128
; 11764; 95
; 11784; 103
; 11804; 45
; 11824; 207
; 11844; 78
; 11864; 178
; 11884; 119
; 11904; 78
; 11924; 84
; 11944; 44
; 11964; 188
; 11984; 69
; 12004; 137
; 12024; 128
; 12044; 76
; 12064; 97
; 12084; 34
; 12104; 211
; 12124; 116
