V20.3.3.0 Trace: mesure_all
C:\Users\HP\Documents\CoursMines\mecatro\TI_MECATRO_Tricodrisse\minimal_working_example\M241_ILE_2_moteurs_new.project
Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x init_x target_x h_triangle 
4 1 3 0 0 0 0 0 0 0 1.5 0
24 -3 1 0 0 0 0 0 0 0 1.5 0
44 -4 3 0 0 0 0 0 0 0 1.5 0
64 0 -1 0 0 0 0 0 0 0 1.5 0
84 -1 -3 0 0 0 0 0 0 0 1.5 0
104 -4 1 0 0 0 0 0 0 0 1.5 0
124 -6 2 0 0 0 0 0 0 0 1.5 0
144 3 -1 0 0 0 0 0 0 0 1.5 0
164 1 -2 0 0 0 0 0 0 0 1.5 0
184 -1 1 0 0 0 0 0 0 0 1.5 0
204 -7 7 0 0 0 0 0 0 0 1.5 0
224 3 3 0 0 0 0 0 0 0 1.5 0
244 -2 1 0 0 0 0 0 0 0 1.5 0
264 1 -1 0 0 0 0 0 0 0 1.5 0
284 2 3 0 0 0 0 0 0 0 1.5 0
304 5 1 0 0 0 0 0 0 0 1.5 0
324 -2 0 0 0 0 0 0 0 0 1.5 0
344 1 5 0 0 0 0 0 0 0 1.5 0
364 -5 2 0 0 0 0 0 0 0 1.5 0
384 -3 -3 0 0 0 0 0 0 0 1.5 0
404 1 -1 0 0 0 0 0 0 0 1.5 0
424 -2 -1 0 0 0 0 0 0 0 1.5 0
444 -6 0 0 0 0 0 0 0 0 1.5 0
464 2 6 0 0 0 0 0 0 0 1.5 0
484 -2 -2 0 0 0 0 0 0 0 1.5 0
504 0 -3 0 0 0 0 0 0 0 1.5 0
524 -2 -2 0 0 0 0 0 0 0 1.5 0
544 -5 2 0 0 0 0 0 0 0 1.5 0
564 -2 2 0 0 0 0 0 0 0 1.5 0
584 -1 0 0 0 0 0 0 0 0 1.5 0
604 6 -1 0 0 0 0 0 0 0 1.5 0
624 -1 -1 0 0 0 0 0 0 0 1.5 0
644 0 -3 0 0 0 0 0 0 0 1.5 0
664 3 0 0 0 0 0 0 0 0 1.5 0
684 2 2 0 0 0 0 0 0 0 1.5 0
704 1 -6 0 0 0 0 0 0 0 1.5 0
724 4 0 0 0 0 0 0 0 0 1.5 0
744 0 -2 0 0 0 0 0 0 0 1.5 0
764 0 2 0 0 0 0 0 0 0 1.5 0
784 2 3 0 0 0 0 0 0 0 1.5 0
804 -4 5 0 0 0 0 0 0 0 1.5 0
824 2 0 0 0 0 0 0 0 0 1.5 0
844 -3 0 0 0 0 0 0 0 0 1.5 0
