Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x initial_x asserv.target_x h_triangle L1 L2 
10 0 -1 0 0 0 0 0 0 0 1.5 0 0 0
30 -3 -4 0 0 0 0 0 0 0 1.5 0 0 0
49 0 -5 0 0 0 0 0 0 0 1.5 0 0 0
70 -2 -4 0 0 0 0 0 0 0 1.5 0 0 0
90 0 -7 0 0 0 0 0 0 0 1.5 0 0 0
110 -3 -3 0 0 0 0 0 0 0 1.5 0 0 0
130 2 -1 0 0 0 0 0 0 0 1.5 0 0 0
150 -3 0 0 0 0 0 0 0 0 1.5 0 0 0
169 2 5 0 0 0 0 0 0 0 1.5 0 0 0
190 -2 -7 0 0 0 0 0 0 0 1.5 0 0 0
210 0 1 0 0 0 0 0 0 0 1.5 0 0 0
230 -2 0 0 0 0 0 0 0 0 1.5 0 0 0
250 0 -5 0 0 0 0 0 0 0 1.5 0 0 0
270 2 -1 0 0 0 0 0 0 0 1.5 0 0 0
289 1 0 0 0 0 0 0 0 0 1.5 0 0 0
310 0 -4 0 0 0 0 0 0 0 1.5 0 0 0
330 -2 3 0 0 0 0 0 0 0 1.5 0 0 0
349 1 7 0 0 0 0 0 0 0 1.5 0 0 0
370 2 2 0 0 0 0 0 0 0 1.5 0 0 0
390 -2 2 0 0 0 0 0 0 0 1.5 0 0 0
409 2 -1 0 0 0 0 0 0 0 1.5 0 0 0
430 -2 -2 0 0 0 0 0 0 0 1.5 0 0 0
449 1 -3 0 0 0 0 0 0 0 1.5 0 0 0
469 0 -7 0 0 0 0 0 0 0 1.5 0 0 0
490 -2 5 0 0 0 0 0 0 0 1.5 0 0 0
509 0 1 0 0 0 0 0 0 0 1.5 0 0 0
530 -3 -3 0 0 0 0 0 0 0 1.5 0 0 0
550 4 -1 0 0 0 0 0 0 0 1.5 0 0 0
569 -3 6 0 0 0 0 0 0 0 1.5 0 0 0
590 -2 -5 0 0 0 0 0 0 0 1.5 0 0 0
